Acceptance Probability
Layer: 0, Bt :0.183983, At: 1, Delta_E: -4.23218, Acceptance Probability: 1938.91, Is Accepted:1
Layer: 0, Bt :0.183983, At: 1, Delta_E: 0, Acceptance Probability: 1, Is Accepted:0
Layer: 0, Bt :0.183983, At: 1, Delta_E: -5.28809, Acceptance Probability: 12817.1, Is Accepted:1
Layer: 0, Bt :0.183983, At: 1, Delta_E: -7.67684, Acceptance Probability: 919118, Is Accepted:1
Layer: 0, Bt :0.163784, At: 1, Delta_E: 5.32601, Acceptance Probability: 2.25181e-05, Is Accepted:0
Layer: 0, Bt :0.163784, At: 1, Delta_E: -2.85752, Acceptance Probability: 311.508, Is Accepted:1
Layer: 0, Bt :0.163784, At: 1, Delta_E: 2.03679, Acceptance Probability: 0.0166994, Is Accepted:0
Layer: 0, Bt :0.163784, At: 1, Delta_E: 8.68206, Acceptance Probability: 2.65488e-08, Is Accepted:0
Layer: 0, Bt :0.163784, At: 1, Delta_E: 2.31027, Acceptance Probability: 0.00963967, Is Accepted:0
Layer: 0, Bt :0.163784, At: 1, Delta_E: 6.88697, Acceptance Probability: 9.78233e-07, Is Accepted:0
Layer: 0, Bt :0.163784, At: 1, Delta_E: -0.87801, Acceptance Probability: 5.83647, Is Accepted:1
Layer: 0, Bt :0.163784, At: 1, Delta_E: 1.52031, Acceptance Probability: 0.0471388, Is Accepted:0
Layer: 0, Bt :0.163784, At: 1, Delta_E: 2.03868, Acceptance Probability: 0.0166361, Is Accepted:0
Layer: 0, Bt :0.163784, At: 1, Delta_E: 0, Acceptance Probability: 1, Is Accepted:0
Layer: 0, Bt :0.145803, At: 1, Delta_E: 1.27417, Acceptance Probability: 0.0563694, Is Accepted:1
Layer: 0, Bt :0.145803, At: 1, Delta_E: 9.10185, Acceptance Probability: 1.19746e-09, Is Accepted:0
Layer: 0, Bt :0.145803, At: 1, Delta_E: 4.47718, Acceptance Probability: 4.08714e-05, Is Accepted:0
Layer: 0, Bt :0.145803, At: 1, Delta_E: 4.66284, Acceptance Probability: 2.68802e-05, Is Accepted:0
Layer: 0, Bt :0.145803, At: 1, Delta_E: 4.8022, Acceptance Probability: 1.96261e-05, Is Accepted:0
Layer: 0, Bt :0.145803, At: 1, Delta_E: 3.3498, Acceptance Probability: 0.000520581, Is Accepted:0
Layer: 0, Bt :0.145803, At: 1, Delta_E: 0.00704106, Acceptance Probability: 0.984234, Is Accepted:1
Layer: 0, Bt :0.145803, At: 1, Delta_E: 3.39987, Acceptance Probability: 0.000464955, Is Accepted:0
Layer: 0, Bt :0.145803, At: 1, Delta_E: 4.34949, Acceptance Probability: 5.45235e-05, Is Accepted:0
Layer: 0, Bt :0.145803, At: 1, Delta_E: -0.914759, Acceptance Probability: 7.88237, Is Accepted:1
Layer: 0, Bt :0.129796, At: 1, Delta_E: -1.89578, Acceptance Probability: 122.303, Is Accepted:1
Layer: 0, Bt :0.129796, At: 1, Delta_E: 10.32, Acceptance Probability: 4.332e-12, Is Accepted:0
Layer: 0, Bt :0.129796, At: 1, Delta_E: 3.01946, Acceptance Probability: 0.00047347, Is Accepted:0
Layer: 0, Bt :0.129796, At: 1, Delta_E: 8.83637, Acceptance Probability: 1.86344e-10, Is Accepted:0
Layer: 0, Bt :0.129796, At: 1, Delta_E: 11.7121, Acceptance Probability: 1.27015e-13, Is Accepted:0
Layer: 0, Bt :0.129796, At: 1, Delta_E: 8.40403, Acceptance Probability: 5.57654e-10, Is Accepted:0
Layer: 0, Bt :0.129796, At: 1, Delta_E: 2.30325, Acceptance Probability: 0.00291004, Is Accepted:0
Layer: 0, Bt :0.129796, At: 1, Delta_E: 4.50967, Acceptance Probability: 1.0825e-05, Is Accepted:0
Layer: 0, Bt :0.129796, At: 1, Delta_E: 10.552, Acceptance Probability: 2.40549e-12, Is Accepted:0
Layer: 0, Bt :0.129796, At: 1, Delta_E: 4.41026, Acceptance Probability: 1.39279e-05, Is Accepted:0
Layer: 0, Bt :0.115546, At: 1, Delta_E: -0.823285, Acceptance Probability: 10.4306, Is Accepted:1
Layer: 0, Bt :0.115546, At: 1, Delta_E: 6.60017, Acceptance Probability: 6.86025e-09, Is Accepted:0
Layer: 0, Bt :0.115546, At: 1, Delta_E: -0.364907, Acceptance Probability: 2.82715, Is Accepted:1
Layer: 0, Bt :0.115546, At: 1, Delta_E: 10.541, Acceptance Probability: 9.16182e-14, Is Accepted:0
Layer: 0, Bt :0.115546, At: 1, Delta_E: 2.124, Acceptance Probability: 0.00235968, Is Accepted:0
Layer: 0, Bt :0.115546, At: 1, Delta_E: 1.29783, Acceptance Probability: 0.0248162, Is Accepted:0
Layer: 0, Bt :0.115546, At: 1, Delta_E: 9.52213, Acceptance Probability: 1.66804e-12, Is Accepted:0
Layer: 0, Bt :0.115546, At: 1, Delta_E: -6.57029, Acceptance Probability: 1.33876e+08, Is Accepted:1
Layer: 0, Bt :0.115546, At: 1, Delta_E: 0.000325607, Acceptance Probability: 0.999073, Is Accepted:1
Layer: 0, Bt :0.115546, At: 1, Delta_E: 4.59031, Acceptance Probability: 2.1004e-06, Is Accepted:0
Layer: 0, Bt :0.102861, At: 1, Delta_E: 4.27805, Acceptance Probability: 1.13757e-06, Is Accepted:0
